model_name,a_base,a_CTC,a_freeze,f_base,f_CTC,f_freeze,p_base,p_CTC,p_freeze,t_base,t_CTC,t_freeze
w2v2-large,0.6909,0.688,0.694,0.7942,0.7866,0.7819,0.7862,0.7847,0.7758,0.7275,0.7178,0.7233
w2v2-large-960h,0.7063,0.708,0.7019,0.7734,0.7698,0.7739,0.7732,0.7713,0.7748,0.7335,0.7287,0.7272
w2v2-large-lv60,0.6232,0.6659,0.6493,0.6756,0.7201,0.7489,0.6718,0.7301,0.7423,0.6415,0.686,0.6785
w2v2-xlsr-53,0.6778,0.6912,0.6449,0.7404,0.7516,0.6941,0.7341,0.7507,0.6911,0.6938,0.7062,0.664
w2v2-xls-r-300m,0.6327,0.6493,0.6606,0.6927,0.7047,0.7346,0.6806,0.6919,0.7268,0.6474,0.6632,0.6789
hb-large-ll60k,0.62,0.6163,0.6978,0.6915,0.6868,0.7633,0.6834,0.6805,0.7602,0.633,0.6328,0.7159
hb-base-ls960,0.6731,0.6263,0.6742,0.7604,0.7083,0.7431,0.7591,0.693,0.7389,0.7038,0.6487,0.6975
hb-xlarge-ll60k,0.6314,0.6858,0.7022,0.7037,0.7594,0.7855,0.6932,0.7612,0.7834,0.6459,0.7047,0.7277
hb-xlarge-ls960-ft,0.6699,0.7188,0.7224,0.7434,0.7967,0.7875,0.7411,0.7881,0.7841,0.6931,0.7343,0.7451
wlm-large,0.6126,0.6491,0.6557,0.6539,0.6998,0.7358,0.644,0.6948,0.7255,0.6201,0.659,0.6802
wlm-base-plus,0.6026,0.6359,0.6527,0.6857,0.7005,0.7158,0.6807,0.6963,0.7079,0.6319,0.6532,0.6732
wlm-base-plus-sv,0.6492,0.6414,0.6561,0.6971,0.7125,0.716,0.6867,0.6977,0.7135,0.6674,0.6638,0.6798
